meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,going_allowance,raw_figure,weight_adj,wfa_adj,figure_calibrated,figure_final
2026-03-17,FON,4,2026-03-17_FON_4,NAKED MEMORIES,9.0,10.936132983377078,Souple,Turf,5,4,123.45871999999999,,12.35,0.2609455566408595,46.952457278516796,-2.5412800000000146,0.0,37.97757916849869,37.97757916849869
2026-03-17,FON,5,2026-03-17_FON_5,AMERICAN GLORY,1.0,8.947745168217608,Souple,Turf,5,5,122.35640999999998,112.08,0.0,0.2609455566408595,143.37891828238227,-3.6435900000000174,0.0,104.22172624468824,104.22172624468824
2026-03-17,FON,5,2026-03-17_FON_5,PRINCE DES VILLES,2.0,8.947745168217608,Souple,Turf,5,5,123.45871999999999,,0.15,0.2609455566408595,143.04504000159633,-2.5412800000000146,0.0,104.75573681063142,104.75573681063142
2026-03-17,FON,5,2026-03-17_FON_5,MONONOF,3.0,8.947745168217608,Souple,Turf,5,6,123.45871999999999,,0.25,0.2609455566408595,142.82245448107236,-2.5412800000000146,0.0,104.6010542060308,104.6010542060308
2026-03-17,FON,5,2026-03-17_FON_5,DALAKIR,4.0,8.947745168217608,Souple,Turf,5,4,123.45871999999999,,2.25,0.2609455566408595,138.37074407059308,-2.5412800000000146,0.0,101.50740211401862,101.50740211401862
2026-03-17,FON,5,2026-03-17_FON_5,CALAS,5.0,8.947745168217608,Souple,Turf,5,6,123.45871999999999,,2.5,0.2609455566408595,137.81428026928316,-2.5412800000000146,0.0,101.12069560251709,101.12069560251709
2026-03-17,FON,5,2026-03-17_FON_5,GERARD TER BORCH,6.0,8.947745168217608,Souple,Turf,5,4,130.07258,,3.5,0.2609455566408595,135.58842506404352,4.072579999999988,0.0,104.1700763935754,104.1700763935754
2026-03-17,FON,5,2026-03-17_FON_5,LE ROI RENE,7.0,8.947745168217608,Souple,Turf,5,4,123.45871999999999,,4.25,0.2609455566408595,133.91903366011377,-2.5412800000000146,0.0,98.4137500220064,98.4137500220064
2026-03-17,FON,5,2026-03-17_FON_5,L'HOTELLERIE,8.0,8.947745168217608,Souple,Turf,5,5,122.35640999999998,,4.28,0.2609455566408595,133.8522580039566,-3.6435900000000174,0.0,97.60131076778215,97.60131076778215
2026-03-17,FON,5,2026-03-17_FON_5,EL PEQUENIO,9.0,8.947745168217608,Souple,Turf,5,4,123.45871999999999,,5.78,0.2609455566408595,130.51347519609712,-2.5412800000000146,0.0,96.04710617161709,96.04710617161709
2026-03-17,FON,5,2026-03-17_FON_5,STORMY DONALD,10.0,8.947745168217608,Souple,Turf,5,4,125.66333999999999,,8.780000000000001,0.2609455566408595,123.83590958037819,-0.33666000000000906,0.0,92.93869697928695,92.93869697928695
2026-03-17,FON,5,2026-03-17_FON_5,ROUGEGARDE,11.0,8.947745168217608,Souple,Turf,5,9,127.86795999999998,,11.280000000000001,0.2609455566408595,118.27127156727907,1.8679599999999823,0.0,90.60370080995983,90.60370080995983
