meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final
2026-03-16,CHA,4,2026-03-16_CHA_4,SYDNEY BOYS,6.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,9.25,97.99696852287403,2.778460843479062,0.05701560919433525,65.69219195397434,1.8679599999999823,67.56015195397433,5.0,72.56015195397433,63.8730627556453,63.8730627556453
2026-03-16,CHA,4,2026-03-16_CHA_4,FORGOTTEN SON,7.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,9.35,97.99696852287403,2.778460843479062,0.05701560919433525,65.41434586962644,1.8679599999999823,67.28230586962643,5.0,72.28230586962643,63.67857049660177,63.67857049660177
2026-03-16,CHA,4,2026-03-16_CHA_4,HOLY SPIRIT,8.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,10.35,97.99696852287403,2.778460843479062,0.05701560919433525,62.635885026147385,1.8679599999999823,64.50384502614736,5.0,69.50384502614736,61.733647906166425,61.733647906166425
2026-03-16,CHA,4,2026-03-16_CHA_4,KING ARTHUR,9.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,10.85,97.99696852287403,2.778460843479062,0.05701560919433525,61.24665460440785,1.8679599999999823,63.114614604407834,5.0,68.11461460440783,60.761186610948755,60.761186610948755
2026-03-16,CHA,4,2026-03-16_CHA_4,ZELAST,10.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,13.85,97.99696852287403,2.778460843479062,0.05701560919433525,52.911272073970665,1.8679599999999823,54.77923207397065,5.0,59.77923207397065,54.92641883964272,54.92641883964272
2026-03-16,CHA,4,2026-03-16_CHA_4,MONARCO,11.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,13.95,97.99696852287403,2.778460843479062,0.05701560919433525,52.63342598962276,1.8679599999999823,54.50138598962274,5.0,59.50138598962274,54.73192658059919,54.73192658059919
2026-03-16,CHA,4,2026-03-16_CHA_4,STORM TRAVELLER,12.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,14.7,97.99696852287403,2.778460843479062,0.05701560919433525,50.54958035701346,1.8679599999999823,52.41754035701344,5.0,57.41754035701344,53.27323463777268,53.27323463777268
2026-03-16,CHA,4,2026-03-16_CHA_4,KANAGAWA,13.0,7.953551260637875,PSF STANDARD,All Weather,3,127.86795999999998,,16.7,97.99696852287403,2.778460843479062,0.05701560919433525,44.99265867005534,1.8679599999999823,46.860618670055324,5.0,51.860618670055324,49.383389456902,49.383389456902
2026-03-16,CHA,5,2026-03-16_CHA_5,MODERN SPIRIT,1.0,7.953551260637875,PSF STANDARD,All Weather,4,132.2772,98.94,0.0,97.99696852287403,2.778460843479062,0.05701560919433525,93.198954304417,6.2771999999999935,99.476154304417,0.0,99.476154304417,82.71426440095516,82.71426440095516
2026-03-16,CHA,5,2026-03-16_CHA_5,MORUS,2.0,7.953551260637875,PSF STANDARD,All Weather,4,127.86795999999998,,0.75,97.99696852287403,2.778460843479062,0.05701560919433525,91.1151086718077,1.8679599999999823,92.98306867180769,0.0,92.98306867180769,78.16910445812866,78.16910445812866
2026-03-16,CHA,5,2026-03-16_CHA_5,VERMEER,3.0,7.953551260637875,PSF STANDARD,All Weather,4,131.17488999999998,,2.0,97.99696852287403,2.778460843479062,0.05701560919433525,87.64203261745888,5.1748899999999765,92.81692261745886,0.0,92.81692261745886,78.05280222008446,78.05280222008446
2026-03-16,CHA,5,2026-03-16_CHA_5,POKROV,4.0,7.953551260637875,PSF STANDARD,All Weather,4,122.35640999999998,,3.25,97.99696852287403,2.778460843479062,0.05701560919433525,84.16895656311004,-3.6435900000000174,80.52536656311003,0.0,80.52536656311003,69.44871298204029,69.44871298204029
2026-03-16,CHA,5,2026-03-16_CHA_5,HOODWINK,5.0,7.953551260637875,PSF STANDARD,All Weather,4,126.76565,,3.5,97.99696852287403,2.778460843479062,0.05701560919433525,83.47434135224029,0.7656499999999937,84.23999135224028,0.0,84.23999135224028,72.04895033443147,72.04895033443147
2026-03-16,CHA,5,2026-03-16_CHA_5,BORCANO,6.0,7.953551260637875,PSF STANDARD,All Weather,4,121.2541,,3.6,97.99696852287403,2.778460843479062,0.05701560919433525,83.19649526789237,-4.745900000000006,78.45059526789237,0.0,78.45059526789237,67.99637307538794,67.99637307538794
2026-03-16,CHA,5,2026-03-16_CHA_5,MISS DAVIER,7.0,7.953551260637875,PSF STANDARD,All Weather,4,132.2772,,4.85,97.99696852287403,2.778460843479062,0.05701560919433525,79.72341921354355,6.2771999999999935,86.00061921354354,0.0,86.00061921354354,73.28138983734375,73.28138983734375
2026-03-16,CHA,5,2026-03-16_CHA_5,AMBRA ANTICA,8.0,7.953551260637875,PSF STANDARD,All Weather,4,132.2772,,11.85,97.99696852287403,2.778460843479062,0.05701560919433525,60.27419330919012,6.2771999999999935,66.5513933091901,0.0,66.5513933091901,59.666931704296346,59.666931704296346
2026-03-16,CHA,5,2026-03-16_CHA_5,KARAWAN,9.0,7.953551260637875,PSF STANDARD,All Weather,4,112.43561999999999,,14.85,97.99696852287403,2.778460843479062,0.05701560919433525,51.93881077875293,-13.564380000000014,38.37443077875292,0.0,38.37443077875292,39.943057932990314,39.943057932990314
2026-03-16,CHA,5,2026-03-16_CHA_5,AUDELADESETOILES,10.0,7.953551260637875,PSF STANDARD,All Weather,4,124.56102999999999,,19.85,97.99696852287403,2.778460843479062,0.05701560919433525,38.47178454855094,-1.4389700000000119,37.03281454855093,0.0,37.03281454855093,39.00392657184892,39.00392657184892
2026-03-16,CHA,6,2026-03-16_CHA_6,FRANKLY GOOD CEN,1.0,8.947745168217608,PSF STANDARD,All Weather,4,123.45871999999999,109.7,0.0,110.86919482998353,2.5096943976186115,0.05701560919433525,121.07335136847652,-2.5412800000000146,118.53207136847651,0.0,118.53207136847651,96.05340634579682,96.05340634579682
2026-03-16,CHA,6,2026-03-16_CHA_6,MON FLAMANT,2.0,8.947745168217608,PSF STANDARD,All Weather,5,123.45871999999999,,2.5,110.86919482998353,2.5096943976186115,0.05701560919433525,114.79911537442999,-2.5412800000000146,112.25783537442997,0.0,112.25783537442997,91.66144114996425,91.66144114996425
